model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,adwin,selectkbest,500,5,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,2,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,3,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,4,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,5,0.522,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,1,0.521,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,2,0.525,6,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,3,0.519,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,4,0.522,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,5,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,1,0.523,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,2,0.519,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,3,0.519,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,4,0.519,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,5,0.527,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,1,0.522,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,2,0.527,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,3,0.524,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,4,0.523,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,5,0.517,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,1,0.521,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,2,0.52,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,3,0.523,4,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,4,0.515,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,5,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,1,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,2,0.527,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,3,0.526,5,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,4,0.527,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,5,0.526,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,1,0.514,36,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,2,0.514,36,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,3,0.514,36,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,4,0.514,36,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,5,0.514,36,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,1,0.51,35,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,2,0.51,35,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,3,0.51,35,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,4,0.51,35,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,5,0.51,35,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,1,0.511,34,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,2,0.511,34,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,3,0.511,34,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,4,0.511,34,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,5,0.511,34,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,1,0.512,33,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,2,0.512,33,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,3,0.512,33,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,4,0.512,33,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,5,0.512,33,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,1,0.513,29,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,2,0.513,29,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,3,0.513,29,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,4,0.513,29,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,5,0.513,29,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,1,0.523,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,2,0.523,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,3,0.523,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,4,0.523,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,5,0.523,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,1,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,2,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,3,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,4,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,5,0.526,1,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,1,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,2,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,3,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,4,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,5,0.52,3,"grace_period=100, max_depth=4, delta=1e-05",AAPL
